ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q3101128,Geoffroy Drouet,1564-12-11,1565,,Q16683809
2,Q16683809,Yves Rocaz,1566,1567,Q3101128,Q16010455
3,Q16010455,Mathieu André,1568,1568,Q16683809,Q16670092
4,Q16670092,Pierre Cornulier,1569,1570,Q16010455,Q3173609
5,Q3173609,Jean Morin,1571,1571,Q16670092,Q16640526
6,Q16640526,Guillaume Harouys,1572,1572,Q3173609,Q17355347
7,Q17355347,Michel Le Loup,1573,1573,Q16640526,Q17630652
8,Q17630652,Jacques Grignon,1574,1574,Q17355347,Q17630927
9,Q17630927,Jean Boutin,1575,1575,Q17630652,Q16672982
10,Q16672982,Robert Poullain,1576,1576,Q17630927,Q17635089
11,Q17635089,Michel Loriot,1577,1577,Q16672982,Q17628615
12,Q17628615,François Myron,1578,1579,Q17635089,Q15967070
13,Q15967070,Antoine de Brenezay,1580,1580,Q17628615,Q17176530
14,Q17176530,Bonaventure de Compludo,1581,1582,Q15967070,Q17624962
15,Q17624962,Claude Brossard,1583,1583,Q17176530,Q17621419
16,Q17621419,Antoine Gravoil,1584,1584,Q17624962,Q16644426
17,Q16644426,Jacques de Marquès,1585,1585,Q17621419,Q17630943
18,Q17630943,Jean Frusneau,1586,1587,Q16644426,Q2959313
19,Q2959313,Charles Harouys,1588,1589,Q17630943,Q15967071
20,Q15967071,Pierre André,1590,1591,Q2959313,Q17630956
21,Q17630956,Jean Laubier,1593,1594,Q15967071,Q20241005
22,Q20241005,Guillaume Dubot,1595,1596,Q17630956,Q3172071
23,Q3172071,Jean Fourché,1597,1598-04-30,Q20241005,Q2959313
,Q2959313,Charles Harouys,1598-05-01,1599-06-14,Q3172071,Q17628795
24,Q17628795,Gabriel Hus,1599-06-14,1601-06-25,Q2959313,Q17631276
25,Q17631276,Julien Laurens,1601-06-25,1602-06-09,Q17628795,Q17651405
26,Q17651405,Yves Le Lou,1603,1604,Q17631276,Q16185938
27,Q16185938,Claude de Cornulier,1605,1606,Q17651405,Q17635092
28,Q17635092,Michel Loriot,1607-07-03,1609-07-15,Q16185938,Q17638067
